Species	ERAS6_D42	ERAS7_D8	ERAS11_D180	ERAS3_D180	ERAS9_D42	ERAS9_D4	ERAS7_D4	ERAS2_D0	ERAS2_D42	ERAS2_D180	ERAS4_D0	ERAS3_D4	ERAS9_D8	ERAS7_D0	ERAS11_D8	ERAS11_D4	ERAS4_D180	ERAS5_D4	ERAS3_D0	ERAS9_D0	ERAS11_D42	ERAS5_D180	ERAS5_D0	ERAS5_D42	ERAS6_D8	ERAS2_D8	ERAS4_D4	ERAS6_D4	ERAS6_D180	ERAS7_D42	ERAS2_D4	ERAS4_D42	ERAS3_D42	ERAS7_D180	ERAS11_D0	ERAS4_D8	ERAS5_D8	ERAS6_D0	ERAS3_D8	ERAS9_D180	ERAS8_D180	ERAS10_D0	ERAS12_D180	ERAS8_D8	ERAS12_D4	ERAS8_D0	ERAS12_D42	ERAS1_D8	ERAS12_D0	ERAS1_D42	ERAS10_D180	ERAS10_D8	ERAS1_D0	ERAS8_D42	ERAS1_D180	ERAS10_D42	ERAS12_D8
Anaerostipes caccae	0	0	0	0	0.000363860911593789	0	0	0	0	0.000156775179353605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000304802459195134	0	0	0	0.000670217510314545	0	0.000290471417128436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000275809853839575	0	0.000205676069650509	0	0	0	0	0	0.000284167294428305	0
Anaerostipes hadrus	0.0136060438234071	0	0.00542456335800531	0.00502785176740774	0	0.000714868783281726	8.05541112732618e-05	0.00105559702641516	0.000909756052286642	0.00641210483556243	0.000801441452589503	0.000654552255088364	0	0.00107963750149773	0	0	0.00119895094515585	0	0.00336966898247157	0.000634749240260697	0.000582626166969826	0.000564550142086706	0.000790572645290132	0.00135784426168516	0	0	0.000361376528850444	0	0.00191901594950834	0.00165511031510604	0	0.00718045343141493	0.00343442809151688	0.000364558761357997	0.0020435604733394	0.00144868685153089	0	0.0020892074546405	0	0.00247183331996777	0.000317840126146343	0.000188710944691023	0.000694527928369654	0.00012351758571378	0	0.000397533867908437	0.00208688353205025	0.00033097182460749	0.000855312908970453	0.00448888022012237	0.00708964090878209	0	0.00655714096762606	0.00293763912782714	0.00495309384341319	0.00770661702489563	0
Anaerotruncus colihominis	0	0	0.0001515241161454	0.000235680551597238	0.0020740071960846	0	0	0.00016239954252541	0.000250568404231491	0.0003832282161977	0	0	0	0	0	0	0.000197358180272569	0	0.000273956827843217	0.000154816887868463	0.000299636314441625	0.000386271149848799	0.00031371930368656	0.000126901332867772	0	0	0	0	0	0	0	0.00125483652199484	0.000304530569691152	0	0	0	0	0	0	0.000153530019873774	0	0	0	0	0	0	0	0	0	0.000863839492532139	0.000229661189140981	0	0	0	0.000157241074394069	0.000971852146944802	0
Atopobium rimae	0	0	0	0	0	0.000402113690595971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides caccae	0.0240622481641073	0.000369765293303113	0.00378810290363499	0.0101499757554544	0	0	0	0.00203901647837459	0	0	0.00207039041918955	0	0	0.00851887883629451	0	0.000108501123288018	0	0.000175430051453382	0	0.0045825798809065	0.00205306363598891	0.00389242466386097	0.00415050638777319	0.019821988193946	0	0	0.000123196543926288	0.000117286995413427	0.0067508239652347	0.00261548296708115	0	0	0	0.000636905600725441	0.0013125307105188	0	0.0267411057535168	0.00349100987252591	0	0	0.00527988538963101	0.00475551580621377	0	0	0	0.0121970618562816	0.0112472038779971	0	0.00150030297147276	0	0	0	0	0.00179086021696414	0	0	0.00397488577827263
Bacteroides clarus	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00187763043738736	0	0	0	0.000204668393362279	0	0	0	0	0.000762337907958342	0	0	0	0	0	0	0.000686564278858803	0	0	0	0.000257335596252704	0	0	0	0	0	0	0.00151067542309556	0.000863352571961429	0	0	0	0.000352359564737023	0	0	0	0	0	0	0	0	0	0	0
Bacteroides coprocola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0767032567629338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0349959963356339	0	0	0	0	0	0	0	0	0.0205362114446555	0	0	0	0	0.0176776083170374	0	0	0	0	0	0	0	0.0028590926270831	0	0	0
Bacteroides coprophilus	0	0	0	0	0	0	0	0	0	0	0.033693934402617	0	0	0.0364260304853148	0	0	0	0	0	0	0	0	0	0	0	0	0.000147835852711545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides dorei/vulgatus	0.0133377111725974	0.00552182837999315	0.0372875595814471	0.167380327744358	0.118127444948924	0.000459558503538252	0.000107405481697682	0.0440250396191611	0.000231293911598299	0.246184064138965	0.0111716081270052	0.000610915438082474	0.000236144200328376	0.040639319391028	0	0.000108501123288018	0.0291744729987924	0	0.0378433999916153	0.0651624281038359	0.0524502270788789	0.0177239031449853	0.0552271462209821	0.00647196797625638	0.0962497581301302	0.000217716042282239	0	0.000117286995413427	0.0216603213943761	0.08674784245477	0.000193923812874602	0.0409913263851648	0.216301296305632	0.00185281629301947	0.00925832580299495	0	0.00032685130133511	0.00507456074253766	0.169720688780894	0.176789817884651	0.023917894412467	0.0508104218580579	0.0801463180832919	0.00229742709427631	0.00028961127073454	0.0380696173090001	0.0730653316162855	0.499237900237938	0.0193613864776508	0.125552385767283	0	0	0.05769147273723	0.0070691850669637	0.094292230944977	0	0.0795097170321745
Bacteroides eggerthii	0	0	0	0	0	0	0	0	0	0	0.00111311312859653	0	0	0.00519477754343836	0	0	0	0.00347351501877696	0	0	0	0	0.00122821107393288	0	0	0	0	0	0.00183334559461958	0.0133880034377467	0	0	0	0	0	0	0	0	0	0	0	0.00033024415320929	0	0	0	0.000325254982834175	0	0	0	0	0	0	0	0	0	0	0
Bacteroides finegoldii	0	0	0.00114484887754302	0	0	0	0	0	0	0	0.00098324993026027	0	0	0.0036335626056848	0	0	0.00792722024094817	0	0	0	0	0	0	0	0	0	0	0	0.000285567849629217	0.00581944960175557	0	0.00503483789689288	0	0.00100789775198976	0.000363141408154388	0	0	0	0	0	0.00242638736822829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides fragilis Cluster1090	0	0	0.00331837814358425	0.00521639620868553	0	0	0	0.000292319176545738	0.117451048309616	0.0272475261716565	0	0	0	0.00179939583582955	0	0	0	0.000175430051453382	0	0	0.0023305046678793	0.00228791373371981	0.000282347373317904	0.000225602369542706	0	0	0	0	0.000873837619865405	0	0.000193923812874602	0	0	0	0.00146538238819947	0	0.289053282987857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides fragilis Cluster1091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000126901332867772	0	0	0	0	0	0	0	0	0	0	0	0	0.000280158258287237	0	0	0.000383825049684436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides intestinalis	0	0	0	0	0	0	0	0.0017051951965168	0	0.0136394406037636	0	0	0	0	0	0	0	0	0	0.00407168415094057	0	0	0	0	0	0	0	0	0.000805301335954393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000965909456992141	0	0
Bacteroides ovatus	0.0430685179030618	0.160689431746867	0.00320726045841096	0.0140061584949216	0	0	8.05541112732618e-05	0.0295296501492037	0	0	0.00178893181381586	0	0	0.00328585326542788	0	0	0.0131102219752492	0.000666634195522852	0.00299395676142944	0	0.00188659901685467	0.0711382700971538	0.00550577377969913	0.0440347625051169	0.259728602697964	0	0	0.000164201793578798	0.0244674533562314	0.0306642025363773	0	0.0763358884213528	0.0647248306057861	0.00135101188032669	0.000498429383741317	0	0.157909201153185	0.00226735692751683	0.0493719413995164	0	0.000726491716905926	0.00705644139612503	0.0199979946359135	0.276358246276012	0	0.00119260160372531	0.0277205080698404	0.00055161970767915	0.00354544226903443	0.00471585845412953	0	0	0.00310030305797922	0.000897674294217613	0.00399841589173491	0	0.0315810024308928
Bacteroides stercoris	0	0.000308137744419261	0.0104248591908035	0	0	0	8.05541112732618e-05	0	0	0	0.000267147150863168	0.000349094536047128	0	0.0373648457040085	0	0	0	0	0.0506820131509951	0.0197081898256553	0.0065587059938889	0	0	0	0	0	0	0	0.00212462480124138	0.138264237701036	0	0	0	0.000308802715503244	0.000717738312587496	0	0	0	0	0	0	0	0	0	0	0.00330133807576688	0	0	0	0	0	0	0	0	0	0	0
Bacteroides thetaiotaomicron	0.0126589874087847	0.0374942007409357	0.00224255691895192	0.034440784606743	0.0260342482245356	0.00107230317492259	0	0.00311807121648787	0.0235611397948134	0.0126831120097066	0.00176984987446849	0	0.305629631275001	0.00101704982025149	0	0	0.00297517456760897	0.0429803626060786	0.00199988484325548	0.00492317703421711	0.00153147449603497	0.0156291249861899	0.00104871881518079	0.00379434985274639	0	0.484048076806102	0	0	0.00238163586590767	0.00166246636095096	0.000193923812874602	0.00862700108871453	0.067047480427002	0.000521104582411725	0.000429895343476886	0	0.0428081818662898	0.0013604141565101	0.0251685535856182	0.00448307658031421	0.00101376458535566	0.00147194536858998	0	0.0792735865111042	0	0.00196779264614676	0.00259945141711522	0.19986285248631	0.00126193707880887	0.0524782491713274	0	0	0.0182917880420774	0.00106823241011896	0.0247025727873083	0	0.00813699443740593
Bacteroides uniformis	0.0430910668653147	0.00164340130356939	0.0230468180657153	0.145917685512236	0.0978603921731497	0.000502642113244964	8.05541112732618e-05	0.0414443632524846	0	0	0.0289186790809379	0.0003600037402986	0.00019678683360698	0.0542009319592485	0	0	0.0604212068904469	0.000175430051453382	0.0261765749004194	0.111019190290475	0.0589118287116061	0.0546722242862915	0.0198490203442487	0.0104566698283044	0.000110771962400886	0	0.00019711447028206	0	0.0315780928119989	0.163318929848819	0	0.132646677345871	0.0835428862852727	0.00366703224660103	0.00333947687106682	0.000162773803542796	0.000616348168231921	0.00220257530101634	0.422074416325189	0.106027831724829	0.0144187238402388	0.0149317534986772	0.029567046093451	0.000216155774999115	0.00014480563536727	0.00692793113436794	0.0332436885456425	0	0.0029585413736519	0	0.420984270441361	0.00075585129970115	0	0.00567105735371977	0	0.500589105864902	0.126821899143003
Bacteroides xylanisolvens	0.0112970300887089	0.0305056366975068	0.00268955306158084	0.00872018040909779	0.0290861316205285	0	0	0.0141287601997107	0	0	0.00150270272360532	0	0.269573363687362	0.00158425068154559	0	0	0	0.0146484092963574	0.00272244597669197	0.00373495741982666	0.00195595927482727	0.0284317851162746	0.00254112635986114	0.122888078215829	0.0901314534068546	0	0	0	0.0117980317303957	0.0154109160450985	0	0.0363379742827673	0.0524187341718381	0.000579005091568583	0.000672879668050777	0	0.0780065650418525	0.00124164784125921	0.0158695525927017	0.0291898950285013	0.00173877245480058	0.00344987195763276	0.0243415502514317	0.213036955959843	0	0.00128069149490957	0.0243103625487959	0	0.00369233441577409	0.00555325388056375	0	0	0.00403039397537299	0.00447715054241034	0.0036165447110636	0	0.0330280364184972
Bifidobacterium adolescentis	0	0	0	0.0183830830245845	0	0.00137867551061476	9.66649335279141e-05	0.000216532723367213	0	0	0.00397381386908962	0.0182750989620671	0	0.00477231069502621	0	0.000277280648402713	0	0	0.0143827334617689	0.000820529505702852	0	0	0	0	0	0	0.00270046824286423	0	0.00777886822389988	0	0	0	0	0.000257335596252704	0.016044441862633	0	0	0.00464808170140949	0	0	0.000249286373448112	0.000817747426994432	0	0	0	0	0.00861114046909154	0	0.00820259101225762	0	0	0	0	0	0	0	0
Bifidobacterium angulatum	0	0	0	0	0	0.00466451881091326	0	0	0	0	0.00198690693454481	0.00665025091169778	0	0	0	0.000130201347945622	0	0	0.00383539558980504	0.0014707604347504	0	0	0	0	0	0	0.000512497622733357	0	0	0	0	0	0	0	0.0124108916551588	0	0	0.000809770331256009	0	0	0	0.000580286154924895	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium animalis	0	0	0.0001515241161454	0	0	0	0.000451103023130266	0	0	0	0	0	0	0	0.00224576692087846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000573771575903428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00452328160296903	0	0.000154257052237882	0	0	0.00294528790508026	0	0	0.000511501129970949	0
Bifidobacterium bifidum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000217002246576036	0	0.000325798666984852	0	0	0	0	0.00311993847516284	0	0	0	0	0	0	0	0	0	0	0	0.000927078653758849	0	0	0.00055784178375414	0	0	0	0.00120303227240527	0	0	0.00014480563536727	0	0.0104710296520416	0	0.00517394202311635	0	0	0	0	0	0	0	0.000288035201324104
Bifidobacterium catenulatum-Bifidobacterium pseudocatenulatum complex	0	0	0	0	0	0.00188993434580106	0	0	0	0	0.000389589595008786	0	0	0.00140822282804052	0	0	0	0	0	0.00125401679173455	0	0	0	0	0	0	0.000271032396637833	0	0	0	0	0	0	0	0	0	0	0.00468047251465973	0	0.00422207554652879	0	0.00137287212262719	0	0	0.00014480563536727	0	0.00755671510552931	0	0.00124441017493652	0.0254832650296981	0	0	0	0	0.0086010867693556	0	0
Bifidobacterium dentium	0.000374876497454661	0	0	0	0.000227413069746118	0.000402113690595971	0	0	0	0	0	0	0.00371927115517193	0	0	0	0	0	0	0	0	0	0	0	0.00502904709300024	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000185608802253821	0	0	0	0	0	0	0	0	0	0	0	0	0.000313486714161767	0	0	0	0	0.000201624640926873
Bifidobacterium longum	0.014426826049413	0	0.0152281736726127	0.0141722571693806	0	0.00603170535893956	0	0.00064959817010164	0	0.000156775179353605	0.00165297299596585	0.0105252002618209	0	0.00101704982025149	0	0.000311940729453052	0	0.000175430051453382	0.00671194228215881	0.00792662465886529	0	0	0.00191996213856175	0	0	0	0.000851176121672534	0	0.00275858542741824	0	0	0	0	0.000275716710270754	0.00418680682342706	0	0	0.00347465087593488	0	0.00538750797011608	0.000282524556574527	0.000651052759184028	0.0047624772231062	0.00244564819713285	0.000181007044209087	0	0.00978538689669493	0.00022064788307166	0.00471123176088643	0.0206984917366467	0	0	0.011037078886406	0.000314186002976164	0.00497453580810329	0	0
Bilophila wadsworthia	0.000184149858398781	0.00547252634088607	0.000606096464581599	0.00546778879705591	0.00653130336310852	0	0	0	0	0	0.00025045045393422	0	0.00734014889354036	0.00156469203115613	0.00975917831058212	0	0.00198344971173931	0.00161395647337111	0.00108212946998071	0.000464450663605388	0.000795330958085794	0.00459068405012611	0.00064939895863118	0.00426388478435714	0.00100802485784807	0	0	0	0.000214175887221913	0.00219210166178489	0	0.00223082048354638	0	0.000289502545784291	0.00028410474873255	0	0.00207317111132555	0	0.00215306210614433	0.00267142234580367	0.000643158843496129	0.000934119176220562	0	0	0	0	0.00133267650116893	0	0	0	0.00308664638205479	0.0795472537185485	0	0.00135099981279751	0	0.00368280813579083	0.00328360129509478
Blautia hydrogenotrophica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000309633775736925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blautia obeum Cluster1618	0	0	0.000269376206480711	0.00056563332383337	0.00309281774854721	0.000402113690595971	0	0.000460132037155328	0	0.000391937948384012	0.00138582584510268	0.000261820902035346	0	0.000182547403634882	0	0	0	0	0.000890359690490455	0.000361239405026413	0	0	0	0	0	0	0.000225273680322355	0	0.000214175887221913	0	0	0	0	0	0.000448586445367185	0	0	0.00131182793663473	0	0	0.00110683149810962	0.000198146491925574	0.000132291033975172	0.000370552757141341	0	0.00170758865987942	0.000536975879591876	0	0.000233692051631271	0	0.000273296815077767	0	0.00248024244638338	0.0017280230163689	0.000534619652939836	0.00223355493420648	0
Blautia obeum Cluster1619	0	0	0.000303048232290799	0	0	0.000402113690595971	0	0.000347999019697307	0	0.000515118446447558	0.00098324993026027	0.000261820902035346	0	0.000156469203115613	0	0	0.000296037270408853	0	0.000593573126993636	0	0	0	0.00035293421664738	0	0	0	0.000394228940564121	0	0	0	0	0	0	0.00024125212148691	0.000616806362379879	0.000271289672571327	0	0.000161954066251202	0	0.000511766732912581	0	0.000141533208518267	0.000676154173650881	0	0	0	0.000322185527755126	0	0.000140215230978763	0.00630739946928228	0	0	0.00148125590547896	0	0.000419309531717519	0	0
Bulleidia extructa	0	0	0	0	0	0	0.000161108222546524	0	0	0	0	0.000336626874045445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Butyrivibrio crossotus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000162751684932027	0	0	0	0	0	0	0.000381168953979171	0	0	0	0	0	0.000314124634592139	0	0	0	0	0	0.00152519391424843	0	0	0.0100735429208248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter coli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000257011064666296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter concisus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00066194364921498	0	0	0	0	0	0	0	0	0
Campylobacter curvus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222730562704585	0	0	0	0	0	0	0	0	0.00022064788307166	0	0	0	0.000438881399826474	0	0	0	0	0
Campylobacter rectus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000185608802253821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter showae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000222730562704585	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Capnocytophaga sp. oral taxon 329	0	0	0	0	0	0	0	0.00467710682473181	0	0	0.00717957967944763	0	0	0.0138475244757318	0	0	0	0	0.0117253522316897	0	0	0	0.00338816847981485	0	0	0	0	0	0.000257011064666296	0.0251208965603873	0	0	0	0.00231602036627433	0	0	0	0.00090694277100673	0	0	0.00711961882567808	0.00687851393398778	0	0	0	0.00299234584207441	0	0	0	0	0	0	0	0.00474420864494008	0	0	0
Cellulosilyticum lentocellum	0	0	0	0	0	0	0	0	0	0	0	0	0.00019678683360698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000217031738057062	0.000140079129143618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Citrobacter koseri	0	0.0110683077795398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00877762799652948	0	0	0	0	0
Citrobacter rodentium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00186524594926252	0	0	0	0	0
Citrobacter sp. 30_2	0	0.00277323969977335	0	0.000157120367731492	0	0	0.000231593069910628	0	0	0	0	0	0	0	0	0	0.00022202795280664	0	0	0	0	0	0	0	0	0.000326574063423358	0	0	0	0	0	0	0	0	0	0.0063685250636119	0.00022412660662979	0	0	0	0	0	0	0	0	0	0	0.00033097182460749	0	0	0	0	0	0	0	0	0
Citrobacter youngae	0	0.000493020391070817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000883629219232322	0	0	0	0	0	0	0	0	0.000217208453050905	0	0	0	0	0	0	0.000438881399826474	0	0	0	0	0
Clostridiales bacterium 1_7_47FAA	0.000868135046737109	0	0.00018940514518175	0.000157120367731492	0	0	0	0	0	0.000156775179353605	0	0	0	0	0	0	0	0	0.000136978413921608	0	0	0.000148565826864923	0	0.000126901332867772	0	0	0	0	0	0.00029424183379663	0	0.000647336301029085	0.000676734599313671	0	0	0.00101281477759962	0	0	0	0	0	0	0.000132291033975172	0	0	0	0	0.0003677464717861	0	0.000154257052237882	0	0	0	0	0	0.000306900677982569	0
Clostridium butyricum	0	0.000369765293303113	0	0	0	0	0	0	0	0	0	0	0.00181043886918422	0	0.00163478621446299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000271289672571327	0	0	0	0	0	0	0	0	0	0	0	0.00058839435485776	0	0	0	0	0	0	0	0	0.000432052801986156
Clostridium perfringens Cluster1541	0	0.000493020391070817	0	0	0	0	0.000138092762182734	0	0	0	0	0	0.000940203760566683	0	0.000357781494747793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015951832747194	0.00022412660662979	0	0	0	0	0	0	0.000172924619999292	0	0	0	0.000717105619982895	0.000448688739132041	0	0	0	0	0	0	0	0.000252030801158591
Clostridium sp. 7_2_43FAA	0	0.000246510195535409	0	0	0	0	0	0	0	0	0	0	0	0	0.000598595962366501	0	0	0	0	0	0	0	0	0	0.000184619937334811	0.000217716042282239	0	0	0	0	0	0	0	0	0	0.000813869017713981	0.000462261126173941	0	0	0	0	0	0	0.0002058626428563	0	0	0	0.000926721108900972	0	0	0	0.000438881399826474	0	0	0	0	0
Clostridium sp. D5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000154257052237882	0	0	0	0	0	0	0
